Geneids	Series15_HealthyLungBiopsy_2	Series15_COVID19Lung_2	Series15_COVID19Lung_1
EXO5	107	8	0
ZNF684	81	5	0
RIMS3	751	0	0
NFYC	979	24	0
MIR30E	0	0	0
MIR30C1	0	0	0
KCNQ4	179	0	0
CITED4	80	12	0
CTPS1	569	1	0
SLFNL1-AS1	14	0	0
SLFNL1	5	0	0
SCMH1	589	15	0
EDN2	5	0	0
HIVEP3	257	34	5
GUCA2B	0	0	0
GUCA2A	0	0	0
FOXJ3	774	18	0
RIMKLA	107	6	0
ZMYND12	26	12	0
PPCS	948	15	0
CCDC30	19	0	0
PPIH	485	2	0
YBX1	13436	221	15
CLDN19	2	0	0
C1orf50	157	13	0
ERMAP	249	0	0
ZNF691	158	0	0
SLC2A1	566	39	0
SLC2A1-AS1	15	0	0
FAM183A	19	8	0
EBNA1BP2	1014	7	0
TMEM125	494	0	0
C1orf210	58	4	0
TIE1	2414	47	8
MPL	24	0	0
CDC20	12	0	0
ELOVL1	1050	14	4
MED8	564	15	2
SZT2	587	6	0
HYI	0	0	0
PTPRF	551	14	2
KDM4A	388	6	0
KDM4A-AS1	7	0	0
ST3GAL3	407	0	0
ARTN	68	0	0
IPO13	401	6	1
DPH2	578	5	0
ATP6V0B	2193	74	7
B4GALT2	472	0	0
CCDC24	67	0	0
SLC6A9	316	3	0
KLF17	72	0	0
DMAP1	844	0	4
ERI3	931	13	0
RNF220	1199	17	0
MIR5584	0	0	0
TMEM53	157	1	0
KIF2C	36	3	0
RPS8	29808	705	54
SNORD55	30	0	0
SNORD46	0	0	0
SNORD38A	34	0	0
SNORD38B	121	0	0
BEST4	12	0	0
PLK3	1233	15	5
TCTEX1D4	2	0	0
BTBD19	13	0	0
PTCH2	24	5	0
EIF2B3	314	17	0
HECTD3	593	67	7
UROD	1344	2	0
ZSWIM5	86	0	0
HPDL	19	0	0
MUTYH	312	4	0
TOE1	274	0	0
TESK2	124	0	0
MMACHC	12	0	0
PRDX1	6203	281	13
AKR1A1	1512	11	3
NASP	2827	14	1
CCDC17	59	0	0
GPBP1L1	1491	44	0
RPS15AP10	25	0	0
TMEM69	212	21	1
IPP	45	0	0
MAST2	654	2	0
PIK3R3	7063	27	2
TSPAN1	139	7	6
POMGNT1	772	14	1
LURAP1	13	0	0
RAD54L	26	0	0
LRRC41	1269	39	6
UQCRH	2377	94	6
NSUN4	370	0	0
FAAH	131	0	0
DMBX1	0	0	0
MKNK1-AS1	6	0	0
KNCN	0	0	0
MKNK1	591	18	3
MOB3C	1461	11	0
ATPAF1	486	0	4
TEX38	0	0	0
EFCAB14-AS1	0	0	0
EFCAB14	2163	150	2
CYP4B1	1063	54	0
CYP4Z2P	7	0	0
CYP4A11	43	0	0
CYP4X1	190	2	0
CYP4Z1	2	0	0
CYP4A22	0	0	0
LINC00853	8	0	0
PDZK1IP1	97	45	3
TAL1	852	11	0
STIL	12	0	0
CMPK1	2704	55	1
FOXE3	0	0	0
FOXD2-AS1	32	0	0
FOXD2	17	0	0
TRABD2B	131	7	0
SLC5A9	39	6	0
SPATA6	282	4	0
AGBL4	0	0	0
BEND5	112	0	0
ELAVL4	7	0	0
DMRTA2	6	0	0
FAF1	726	13	2
CDKN2C	278	8	0
C1orf185	0	0	0
RNF11	1822	45	0
TTC39A	155	0	0
EPS15	1108	81	0
OSBPL9	1130	70	8
MIR761	0	0	0
RAB3B	9	1	0
TXNDC12	967	129	10
KTI12	0	0	0
BTF3L4	883	83	5
ZFYVE9	389	9	0
CC2D1B	614	0	0
ORC1	12	0	0
PRPF38A	660	29	1
GPX7	111	2	0
ZYG11B	466	8	2
ZYG11A	0	0	0
ECHDC2	769	5	1
SCP2	1644	25	3
PODN	1476	0	0
SLC1A7	144	0	0
CPT2	236	3	0
C1orf123	1068	22	0
MAGOH	834	36	1
LOC100507564	0	0	0
LRP8	17	1	0
SLC25A3P1	0	0	0
DMRTB1	0	0	0
GLIS1	9	0	0
YIPF1	361	61	5
DIO1	2	0	0
HSPB11	317	22	0
LRRC42	326	3	0
LDLRAD1	18	0	0
TMEM59	3672	257	14
TCEANC2	51	10	0
MIR4781	0	0	0
CDCP2	0	0	0
CYB5RL	34	0	0
MRPL37	923	5	1
SSBP3	688	24	7
ACOT11	15	0	0
FAM151A	0	0	0
MROH7	15	0	0
TTC4	3	0	0
PARS2	18	0	0
TTC22	0	0	0
DHCR24	1548	34	2
TMEM61	2	0	0
BSND	0	0	0
PCSK9	11	22	0
USP24	732	30	0
LOC100507634	23	9	0
MIR4422	0	0	0
PRKAA2	87	0	0
C8A	3	10	0
C8B	5	0	0
DAB1	9	0	0
OMA1	158	8	0
TACSTD2	449	114	2
MYSM1	326	1	2
JUN	13579	53	2
HSD52	0	0	0
FGGY	177	0	0
MIR4711	0	0	0
HOOK1	45	0	0
CYP2J2	0	0	4
C1orf87	20	0	0
NFIA	1477	18	0
MGC34796	2	0	0
TM2D1	392	9	0
L1TD1	22	0	0
KANK4	65	0	0
USP1	398	31	2
